	W	Reject null hypothesis
PWY0-1415	1	False
PWY-1269	1	False
1CMET2-PWY	0	False
PWY-6641	0	False
PWY-6749	0	False
PWY-6737	0	False
PWY-6731	0	False
PWY-6728	0	False
PWY-6708	0	False
PWY-6703	0	False
PWY-6700	0	False
PWY-6690	0	False
PWY-6654	0	False
PWY-6630	0	False
PWY-6891	0	False
PWY-6628	0	False
PWY-6612	0	False
PWY-6609	0	False
PWY-6608	0	False
PWY-6590	0	False
PWY-6588	0	False
PWY-6572	0	False
PWY-6562	0	False
PWY-6545	0	False
PWY-6519	0	False
PWY-6876	0	False
PWY-6892	0	False
PWY-6505	0	False
PWY-6895	0	False
PWY-7184	0	False
PWY-7159	0	False
PWY-7111	0	False
PWY-7098	0	False
PWY-7097	0	False
PWY-7094	0	False
PWY-7090	0	False
PWY-7084	0	False
PWY-7046	0	False
PWY-7013	0	False
PWY-7007	0	False
PWY-7003	0	False
PWY-6992	0	False
PWY-6969	0	False
PWY-6957	0	False
PWY-6948	0	False
PWY-6944	0	False
PWY-6919	0	False
PWY-6915	0	False
PWY-6901	0	False
PWY-6897	0	False
PWY-6507	0	False
PWY-6478	0	False
PWY-7196	0	False
PWY-6174	0	False
PWY-6163	0	False
PWY-6151	0	False
PWY-6147	0	False
PWY-6126	0	False
PWY-6125	0	False
PWY-6123	0	False
PWY-6122	0	False
PWY-6121	0	False
PWY-6107	0	False
PWY-6071	0	False
PWY-5989	0	False
PWY-5973	0	False
PWY-5971	0	False
PWY-5941	0	False
PWY-5920	0	False
PWY-5918	0	False
PWY-5913	0	False
PWY-5910	0	False
PWY-5899	0	False
PWY-5898	0	False
PWY-5897	0	False
PWY-6167	0	False
PWY-6182	0	False
PWY-6471	0	False
PWY-6185	0	False
PWY-6470	0	False
PWY-6467	0	False
PWY-6404	0	False
PWY-6397	0	False
PWY-6396	0	False
PWY-6387	0	False
PWY-6386	0	False
PWY-6385	0	False
PWY-6383	0	False
PWY-6353	0	False
PWY-6350	0	False
PWY-6349	0	False
PWY-6339	0	False
PWY-6338	0	False
PWY-6317	0	False
PWY-6282	0	False
PWY-6277	0	False
PWY-6269	0	False
PWY-6263	0	False
PWY-6210	0	False
PWY-621	0	False
PWY-7187	0	False
PWY-7197	0	False
PWY-5863	0	False
PWYG-321	0	False
PWY4FS-8	0	False
PWY4FS-7	0	False
PWY490-3	0	False
PWY1G-0	0	False
PWY0-862	0	False
PWY0-845	0	False
PWY0-781	0	False
PWY0-42	0	False
PWY0-41	0	False
PWY0-321	0	False
PWY0-166	0	False
PWY0-162	0	False
PWY0-1586	0	False
PWY0-1533	0	False
PWY0-1479	0	False
PWY0-1338	0	False
PWY0-1319	0	False
PWY0-1298	0	False
PWY0-1297	0	False
PWY0-1296	0	False
PWY0-1277	0	False
PWY5F9-12	0	False
PYRIDNUCSAL-PWY	0	False
PWY0-1241	0	False
PYRIDNUCSYN-PWY	0	False
VALDEG-PWY	0	False
UDPNAGSYN-PWY	0	False
UBISYN-PWY	0	False
TYRFUMCAT-PWY	0	False
TRPSYN-PWY	0	False
TRNA-CHARGING-PWY	0	False
THRESYN-PWY	0	False
